timestamp,gpu,bus_id,temp_c,power_w,power_limit_w,util_pct,memory_mib,pstate,event
2026-08-07T19:53:55+08:00,0,0000:02:00.0,42,23.48,300.00,0,1,P8,sample
2026-08-07T19:58:58+08:00,0,0000:02:00.0,,,,,,,foreign_compute_owner_516762
