timestamp,gpu_uuid,child_pgid,owner_pids,child_owner_pids,foreign_owner_pids,event
2026-08-07T21:03:48+08:00,GPU-0eac2c76-4004-49eb-bc0c-a9a30aec041a,923098,,,,prelaunch_owner_clear
2026-08-07T21:03:48+08:00,GPU-0eac2c76-4004-49eb-bc0c-a9a30aec041a,923098,,,,runtime_owner_audit
2026-08-07T21:05:33+08:00,GPU-0eac2c76-4004-49eb-bc0c-a9a30aec041a,923098,,,,postexit_owner_clear
