timestamp,gpu,bus_id,temp_c,power_w,power_limit_w,util_pct,memory_mib,pstate,event
2026-08-07T20:06:41+08:00,0,0000:02:00.0,43,23.52,300.00,0,1,P8,sample
2026-08-07T20:11:44+08:00,0,0000:02:00.0,51,27.64,300.00,0,2002,P8,sample
2026-08-07T20:13:35+08:00,0,0000:02:00.0,52,121.91,300.00,0,1,P0,cuda_release_verified_no_compute_owner
