timestamp,gpu,bus_id,temp_c,power_w,power_limit_w,util_pct,memory_mib,pstate,event
2026-08-07T21:06:47+08:00,1,0000:82:00.0,43,31.27,300.00,0,1,P8,sample
2026-08-07T21:07:35+08:00,1,0000:82:00.0,55,126.50,300.00,0,1,P0,cuda_release_verified_no_compute_owner
